id,word,class,level,past,past_participle,plural,sfi_rank,meaning_ko,meaning_ja,ex_biz,ex_biz_ko,ex_biz_ja,ex_daily,ex_daily_ko,ex_daily_ja
ox_00013,absent,adjective,c1,,,,91383,"결석한, 없는",欠席して、不在の,Several board members were [absent] today.,오늘 몇몇 이사회 멤버들이 결석(부재)했습니다.,今日、数名の理事会メンバーが欠席しました。,He was [absent] from school yesterday due to illness.,그는 어제 병으로 학교에 결석했어.,彼は昨日、病気で学校を欠席しました。
ox_00014,absolute,adjective,b2,,,,2398,절대적인,絶対的な,We have [absolute] confidence in our product.,우리는 우리 제품에 대해 절대적인 확신이 있습니다.,当社は製品に対して絶対的な自信を持っています。,It's the [absolute] truth.,그것은 절대적인 사실이야.,それは絶対的な真実です。
ox_00015,absolutely,adverb,b1,,,,1078,"전적으로, 틀림없이",完全に、絶対に,The report is [absolutely] correct.,보고서는 전적으로 맞습니다.,その報告書は完全に正しいです。,[Absolutely]! Let's go.,물론이지! 가자 .,もちろんです！行きましょう。
ox_00016,absorb,verb,b2,,,,91791,흡수하다,吸収する,The company will [absorb] the additional costs.,회사는 추가 비용을 흡수할 것입니다.,会社は追加費用を吸収する予定です。,Plants [absorb] carbon dioxide.,식물은 이산화탄소를 흡수해.,植物は二酸化炭素を吸収する。
ox_00017,abstract,adjective,b2,,,,2721,추상적인,抽象的な,The concept is too [abstract] for a marketing campaign.,그 개념은 마케팅 캠페인으로 쓰기에 너무 추상적입니다.,その概念はマーケティングキャンペーンには抽象的すぎます。,I like [abstract] art.,나는 추상화를 좋아해.,私は抽象芸術が好きだ。
ox_00018,absurd,adjective,c1,,,,91471,"터무니없는, 불합리한",ばかげた、不条理な,The idea that we can finish today is [absurd].,우리가 오늘 끝낼 수 있다는 생각은 터무니없습니다.,今日中に終わらせることができるという考えはばかげています。,That's an [absurd] suggestion for the project.,그건 프로젝트를 위한 말도 안 되는(터무니없는) 제안이야.,それはプロジェクトに対するばかげた提案です。
ox_00019,abundance,noun,c1,,,,91690,풍부함,豊富,The region has an [abundance] of natural gas.,그 지역은 천연가스가 풍부합니다.,その地域には天然ガスが豊富にあります。,There was an [abundance] of food at the party.,파티에는 음식이 아주 많았어.,パーティーには食べ物が豊富にありました。
ox_00020,abuse,noun,c1,,,,1553,"남용, 학대",乱用、虐待,The [abuse] of power is a serious legal issue.,권력 남용은 심각한 법적 문제입니다.,権力の乱用は重大な法的問題です。,Child [abuse] is a tragic global problem.,아동 학대는 비극적인 전 세계적 문제야.,児童虐待は悲劇的な世界の問題です。
ox_00021,abuse,verb,c1,,,,1553,"남용하다, 학대하다",乱用する、虐待する,He was accused of [abusing] his corporate position.,그는 회사 직위를 남용한 혐의를 받았습니다.,彼は会社の地位を乱用したとして告発されました。,Don't [abuse] the system for personal gain.,개인적 이득을 위해 시스템을 남용하지 마.,個人の利益のためにシステムを悪用しないでください。
ox_00022,academic,adjective,b1,,,,1751,"학문적인, 학구적인",学問的な,We need [academic] data.,우리는 학술적인 자료가 필요합니다.,学術的なデータが必要です。,He is very [academic].,참 학구적이야.,彼はとても学究的です。
ox_00023,academic,noun,b2,,,,1751,"학문적인, 학업의",学術的な、学問の,The [academic] year starts in September.,학년(학업 연도)은 9월에 시작됩니다.,学年度は9月に始まります。,She has a brilliant [academic] record.,그녀는 뛰어난 학업 성적을 가지고 있어.,彼女は素晴らしい学業成績を収めています。
ox_00024,academy,noun,c1,,,,90257,"학원, 한림원",学院、アカデミー,He was accepted into the police [academy].,그는 경찰 학교(학원)에 합격했습니다.,彼は警察学校に合格しました。,The [academy] offers professional training.,그 학원은 전문 교육을 제공해.,そのアカデミーは専門的なトレーニングを提供しています。
ox_00025,accelerate,verb,c1,,,,92015,가속하다,加速する,We need to [accelerate] the digital transformation.,우리는 디지털 전환을 가속할 필요가 있습니다.,デジタルトランスフォーメーションを加速させる必要があります。,The car [accelerated] as it reached the highway.,차는 고속도로에 도달하자 가속했어.,車は高速道路に入ると加速しました。
ox_00026,accent,noun,b2,,,,90909,"강조, 억양",アクセント、訛り,He has a strong French [accent].,그는 프랑스 억양이 강합니다.,彼はフランス語の訛りが強いです。,Where is the [accent] in this word?,이 단어의 강조점은 어디니?,この単語のアクセントはどこですか？
ox_00027,accept,verb,a2,,,,561,"받아들이다, 수락하다",受け入れる、承諾する,Will they [accept] our offer?,그들이 우리 제안을 수락할까요?,彼らは私たちの提案を受け入れるでしょうか？,I [accept] your gift.,네 선물 받을게.,あなたのプレゼントを受け取ります。
ox_00028,acceptable,adjective,b2,,,,2428,"용인되는, 허용할 수 있는",受け入れられる、許容できる,The terms of the contract are [acceptable].,계약 조건은 수용 가능합니다.,契約条件は許容範囲内です。,Is this price [acceptable] to you?,이 가격이면 괜찮겠니?,この価格で納得できますか？
ox_00029,acceptance,noun,c1,,,,90863,"수용, 수락",受諾、受け入れ,The [acceptance] of the offer was finalized today.,그 제안의 수락이 오늘 최종 확정되었습니다.,申し出の受諾が今日最終決定されました。,His [acceptance] speech was moving and brief.,그의 수락 연설은 감동적이고 짧았어.,彼の受諾演説は感動的で簡潔なものでした。
ox_00030,access,noun,b1,,,,802,"접근, 통로, 이용 권한",アクセス、接近、利用権,I need [access] to the file.,서류 이용 권한(접근)이 필요합니다.,ファイルへのアクセス権が必要です。,Where is the [access] to the park?,공원 들어가는 입구(통로)가 어디야?,公園への入り口はどこですか？
ox_00031,access,verb,b1,,,,802,"접근하다, 이용하다",アクセスする、接近する,Can you [access] the data?,데이터를 이용(접근)할 수 있습니까?,データにアクセスできますか？,I can't [access] my phone.,내 폰을 쓸 수가 없어(접근이 안 돼).,自分の携帯にアクセスできません。
ox_00032,accessible,adjective,c1,,,,90805,"접근 가능한, 이용 가능한",アクセス可能な、利用できる,The building is [accessible] for wheelchair users.,그 건물은 휠체어 사용자가 이용할 수 있습니다.,そのビルは車椅子利用者がアクセス可能です。,Information should be [accessible] to all staff.,정보는 모든 직원이 접근 가능해야 해.,情報は全スタッフがアクセス可能であるべきです。
ox_00033,accident,noun,a2,,,,1349,사고,事故,A bad [accident] near the office.,사무실 근처에서 큰 사고가 났습니다.,オフィスの近くでひどい事故がありました。,I had a car [accident].,나 교통사고 났어.,交通事故に遭いました。
ox_00034,accidentally,adverb,b2,,,,90713,"우연히, 실수로",偶然に、うっかり,The data was [accidentally] deleted.,데이터가 실수로 삭제되었습니다.,データが誤って削除されました。,I [accidentally] broke the glass.,우연히 유리를 깼어.,うっかりグラスを割ってしまった。
ox_00035,accommodate,verb,b2,,,,91268,"수용하다, 편의를 도모하다",収容する、適応させる,The hotel can [accommodate] up to 500 guests.,그 호텔은 최대 500명의 투숙객을 수용할 수 있습니다.,そのホテルは最大500名のゲストを収容できます。,We will try to [accommodate] your request.,당신의 요청을 들어주도록 노력할게.,ご要望にお応えできるよう努めます。
ox_00036,accommodation,noun,b1,,,,1903,숙박 시설,宿泊施設,We booked [accommodation] in London.,우리는 런던에 숙소를 예약했습니다.,ロンドンで宿泊施設を予約しました。,I need cheap [accommodation].,나 싼 숙소가 필요해.,安い宿が必要です。
ox_00037,accompany,verb,b2,,,,1811,"동행하다, 수반하다",同行する,The CEO will [accompany] the delegation.,사장이 대표단과 동행할 것입니다.,CEOが代表団に同行します。,Children must be [accompanied] by an adult.,아이들은 어른과 동행해야 합니다.,子供は大人の同伴が必要です。
ox_00038,accomplish,verb,b2,,,,2456,"완수하다, 성취하다",成し遂げる、達成する,We need to [accomplish] the mission by Friday.,우리는 금요일까지 임무를 완수해야 합니다.,金曜日までにミッションを達成する必要があります。,You can [accomplish] anything if you try.,노력하면 무엇이든 이룰 수 있어.,努力すれば何でも成し遂げられる。
ox_00039,accomplishment,noun,c1,,,,91978,"업적, 성취",成就、実績,Launching the app was a great [accomplishment].,앱을 출시한 것은 큰 성취였습니다.,アプリをローンチしたのは大きな成果でした。,We celebrated our [accomplishments] at dinner.,우리는 저녁 식사에서 우리의 업적을 축하했어.,私たちは夕食会で自分たちの実績を祝いました。
ox_00040,accordance,noun,c1,,,,90941,"일치, 합의, 준수",一致、調和、遵守,The decision was in [accordance] with the policy.,그 결정은 정책을 준수하여(일치하여) 내려졌습니다.,その決定は方針を遵守して下されました。,Actions must be in [accordance] with promises.,행동은 약속과 일치해야 해.,行動は約束と一致していなければなりません。
ox_00041,according to,preposition,a2,,,,90067,~에 따르면,〜によると,[According to] the report.,보고서에 따르면.,報告書によると。,"[According to] my mom, it will rain.",엄마 말에 따르면 비가 올 거야.,母によると、雨が降るそうだ。
ox_00042,accordingly,adverb,c1,,,,91269,"따라서, 그에 맞춰",したがって、それに応じて,"The budget was cut, so we adjusted [accordingly].",예산이 삭감되어 우리는 그에 맞춰 조정했습니다.,予算が削減されたので、それに応じて調整しました。,Know the rules and act [accordingly].,규칙을 알고 그에 맞춰 행동해.,規則を知り、それに応じて行動しなさい。
ox_00043,account,noun,b1,,,,436,"계좌, 설명, 계정",口座、説明、アカウント,I need a bank [account].,은행 계좌가 필요합니다.,銀行口座が必要です。,He has a Facebook [account].,페이스북 계정이 있어.,彼はFacebookのアカウントを持っています。
ox_00044,account,verb,b2,,,,436,"설명하다, (비율을) 차지하다",説明する、占める,Exports [account] for 30% of our revenue.,수출이 우리 매출의 30%를 차지합니다.,輸出が売上の30%を占めています。,How do you [account] for the missing money?,없어진 돈을 어떻게 설명할 거니?,なくなったお金をどう説明しますか？
ox_00045,accountability,noun,c1,,,,91568,"책무, 책임",説明責任、責務,The CEO called for greater [accountability] from managers.,CEO는 매니저들에게 더 큰 책무를 요구했습니다.,CEOはマネージャーたちにさらなる説明責任を求めました。,Individual [accountability] is vital for the team.,팀을 위해 개개인의 책무가 필수적이야.,チームにとって個人の責任は不可欠です。
ox_00046,accountable,adjective,c1,,,,91601,책임이 있는,責任がある、説明義務がある,You are [accountable] for your team's performance.,당신은 팀의 성과에 대해 책임이 있습니다.,あなたはチームのパフォーマンスに対して責任があります。,Public officials are [accountable] to the voters.,공직자들은 유권자들에게 책임을 져야 해.,公務員は有権者に対して責任があります。
ox_00047,accountant,noun,b2,,,,91886,회계사,会計士,Our [accountant] is reviewing the financial reports.,우리 회계사가 재무 보고서를 검토 중입니다.,会計士が財務報告書を確認しています。,My sister wants to be an [accountant].,내 여동생은 회계사가 되고 싶어 해.,私の妹は会計士になりたがっている。
ox_00048,accumulate,verb,c1,,,,92168,"축적하다, 모으다",蓄積する、ためる,Investors hope to [accumulate] capital quickly.,투자자들은 자본을 빨리 축적하기를 희망합니다.,投資家は資本を素早く蓄積することを望んでいます。,Dust started to [accumulate] on the shelves.,선반 위에 먼지가 쌓이기(축적되기) 시작했어.,棚の上に埃がたまり始めました。
ox_00049,accumulation,noun,c1,,,,92083,"축적, 누적",蓄積、累積,The [accumulation] of wealth takes time.,부의 축적은 시간이 걸립니다.,富の蓄積には時間がかかります。,The [accumulation] of snow blocked the entrance.,눈이 쌓여(누적되어) 입구가 막혔어.,積雪で入り口が塞がれました。
ox_00050,accuracy,noun,b2,,,,90657,정확도,正確さ,The [accuracy] of the data is crucial.,데이터의 정확성이 매우 중요합니다.,データの正確さが極めて重要です。,Check the [accuracy] of your watch.,네 시계가 정확한지 확인해 봐.,時計の正確さを確認してください。
ox_00051,accurate,adjective,b2,,,,2283,정확한,正確な,We need an [accurate] estimate of the costs.,비용에 대한 정확한 견적이 필요합니다.,費用の正確な見積もりが必要です。,Is this information [accurate]?,이 정보가 정확하니?,この情報は正確ですか？
ox_00052,accurately,adverb,b2,,,,91353,정확하게,正確に,The results were [accurately] recorded.,결과가 정확하게 기록되었습니다.,結果は正確に記録されました。,Please measure it [accurately].,정확하게 측정해 줘.,正確に測ってください。
ox_00053,accusation,noun,c1,,,,92073,"비난, 기소",非難、告発,He denied the [accusation] of financial fraud.,그는 금융 사기 혐의(비난)를 부인했습니다.,彼は金融詐欺の告発を否定しました。,The [accusation] turned out to be baseless.,그 비난은 근거 없는 것으로 드러났어.,その非難は根拠がないことが判明しました。
ox_00054,accuse,verb,b2,,,,1755,"비난하다, 고소하다",非難する、告発する,They [accuse] the company of fraud.,그들은 회사를 사기 혐의로 고소했습니다.,彼らは会社を詐欺で告発しています。,Don't [accuse] me without proof.,증거 없이 나를 비난하지 마.,証拠なしに私を責めないでください。
ox_00055,accused,noun,c1,,,,90329,피고인,被告人,The [accused] was present in the courtroom.,피고인이 법정에 출석했습니다.,被告人は法廷に出廷していました。,The lawyer defended the [accused].,변호사가 피고인을 변호했어.,弁護士は被告人を弁護しました。
ox_00056,achieve,verb,a2,,,,746,"성취하다, 이루다",達成する、成し遂げる,We want to [achieve] our goals.,우리는 우리의 목표를 달성하고 싶습니다.,私たちは目標を達成したいです。,You can [achieve] anything.,너는 무엇이든 이룰 수 있어.,あなたは何でも成し遂げられます。
ox_00057,achievement,noun,b1,,,,2001,"성취, 업적",達成,The growth is a big [achievement].,이 성장은 큰 업적입니다.,この成長は大きな業績です。,He felt an [achievement].,그가 성취감을 느꼈대.,彼は達成感を感じていました。
ox_00058,acid,adjective,c1,,,,90341,"산성의, 신",酸性の、酸っぱい,Vinegar is an [acid] liquid.,식초는 산성 액체입니다.,酢は酸性の液体です。,[Acid] rain damages local forests.,산성비가 지역 숲을 망쳐.,酸性雨が地元の森林にダメージを与えます。
ox_00059,acid,noun,b2,,,,90342,"산, 산성의",酸、酸味のある,The [acid] level in the solution is too high.,용액의 산도가 너무 높습니다.,溶液の酸性度が高すぎます。,Lemon juice contains [acid].,레몬즙에는 산이 들어 있어.,レモン汁には酸が含まれています。
ox_00060,acknowledge,verb,b2,,,,1747,"인정하다, 받았음을 알리다",認める、確認する,Please [acknowledge] receipt of this email.,이 이메일 수신 여부를 확인해 주십시오.,このメールの受領を確認してください。,He [acknowledged] his mistake.,그는 자신의 실수를 인정했어.,彼は自分の間違いを認めました。
ox_00061,acquire,verb,b2,,,,1464,"습득하다, 획득하다",習得する、買収する,The corporation plans to [acquire] a smaller firm.,그 기업은 더 작은 회사를 인수할 계획입니다.,その企業は小規模な会社を買収する計画です。,She managed to [acquire] a rare book.,그녀는 희귀한 책을 구했어.,彼女は珍しい本を手に入れた。
ox_00062,acquisition,noun,c1,,,,2010,"습득, 인수",取得、買収,The [acquisition] of the company was finalized today.,회사 인수가 오늘 마무리되었습니다.,会社の買収が今日完了しました。,Language [acquisition] is a slow process.,언어 습득은 느린 과정이야.,言語習得は時間のかかるプロセスです。
ox_00063,acre,noun,c1,,,,91531,에이커,エーカー,The project covers fifty [acres] of land.,그 프로젝트는 50에이커의 땅을 차지합니다.,そのプロジェクトは50エーカーの土地を占めています。,They bought 100 [acres] in the country.,그들은 시골에 100에이커를 샀어.,彼らは田舎に100エーカーの土地を買いました。
ox_00064,across,adverb,a1,,,,383,가로질러서,横切って,The office is right [across].,사무실은 바로 맞은편에 있습니다.,オフィスはすぐ向かいにあります。,He ran [across].,가로질러 달려갔어.,彼は横切って走りました。
ox_00065,across,preposition,a1,,,,383,~을 가로질러,～を横切って,Walk [across] the bridge.,다리를 건너가세요.,橋を渡ってください。,The store is [across] the street.,가게는 길 건너에 있어.,店は道の向かいにあります。
ox_00066,act,noun,b1,,,,515,"법률, 행동",法、行為,A business [act].,사업적 행위.,ビジネス上の行為。,A kind [act].,친절한 행동.,親切な行い。
ox_00067,act,verb,a2,,,,515,"행동하다, 연기하다",行動する、演じる,[Act] fast on this news.,이 소식에 빠르게 대응(행동)하세요.,このニュースに素早く対応してください。,I like to [act].,나는 연기하는 걸 좋아해.,私は演じることが好きです。
ox_00068,action,noun,a1,,,,474,"행동, 조치",行動、措置,We need fast [action].,우리는 빠른 조치가 필요합니다.,迅速な行動が必要です。,I like [action] movies.,난 액션 영화를 좋아해.,私はアクション映画が好きです。
ox_00069,activate,verb,b2,,,,91887,활성화하다,起動させる、活性化する,You need to [activate] your account online.,온라인에서 계정을 활성화해야 합니다.,オンラインでアカウントを有効にする必要があります。,Press this button to [activate] the alarm.,알람을 활성화하려면 이 버튼을 눌러.,アラームを作動させるにはこのボタンを押してください。
ox_00070,activation,noun,c1,,,,91746,활성화,活性化、起動,The [activation] of the account takes 24 hours.,계정 활성화에는 24시간이 걸립니다.,アカウントの有効化には24時間かかります。,Wait for the software [activation].,소프트웨어 활성화를 기다려.,ソフトウェアの起動を待ちなさい。
ox_00071,active,adjective,a2,,,,1354,"활동적인, 적극적인",活動的な、積極的な,Be [active] in the meeting.,회의에 적극적으로 참여하세요.,会議に積極的に参加してください。,She is an [active] child.,활동적인 아이야.,彼女は活発な子です。
ox_00072,activist,noun,c1,,,,90942,활동가,活動家,She is a well-known environmental [activist].,그녀는 잘 알려진 환경 활동가입니다.,彼女は有名な環境活動家です。,Political [activists] joined the march.,정치 활동가들이 행진에 참여했어.,政治活動家たちが行進に加わりました。
ox_00073,activity,noun,a1,,,,432,활동,活動,This is a business [activity].,이것은 사업 활동입니다.,これはビジネス活動です。,I like this [activity].,난 이 활동이 좋아.,私はこの活動が好きです。
ox_00074,actor,noun,a1,,,,1369,배우,俳優,He is a famous [actor].,유명한 배우입니다.,彼は有名な俳優です。,I want to be an [actor].,나는 배우가 되고 싶어.,私は俳優になりたいです。
ox_00075,actress,noun,a1,,,,90343,여배우,女優,She is a famous [actress].,유명한 여배우입니다.,彼女は有名な女優です。,I want to be an [actress].,나는 여배우가 되고 싶어.,私は女優になりたいです。
ox_00076,actual,adjective,b2,,,,1335,실제의,実際の,What is the [actual] cost of production?,실제 생산 비용은 얼마입니까?,実際の生産コストはいくらですか？,The [actual] result was different.,실제 결과는 달랐어.,実際の結果は異なっていた。
ox_00077,actually,adverb,a2,,,,291,"실제로, 사실은",実際に、実は,"[Actually], the plan is ready.","사실은, 계획이 준비되었습니다.",実は、計画はできています。,I [actually] like it.,나 그거 사실 좋아해.,実は、それが好きなんです。
ox_00078,acute,adjective,c1,,,,91327,"심각한, 격심한, 예리한",深刻な、激しい、鋭い,The city faces an [acute] shortage of housing.,그 도시는 심각한 주택 부족에 직면해 있습니다.,その都市は深刻な住宅不足に直面しています。,Dogs have an [acute] sense of smell.,개는 후각이 예리해.,犬は鋭い嗅覚を持っています。
ox_00079,ad,noun,b1,,,,1478,광고,広告,I saw our [ad] in the newspaper.,신문에서 우리 광고를 봤습니다.,新聞で私たちの広告を見ました。,That is a funny [ad].,저 광고 웃긴다.,あの広告は面白いですね。
ox_00080,adapt,verb,b2,,,,2372,"적응하다, 조정하다",適応させる、順応する,We must [adapt] to the changing market.,우리는 변화하는 시장에 적응해야 합니다.,変化する市場に適応しなければなりません。,It takes time to [adapt] to a new city.,새로운 도시에 적응하는 데는 시간이 걸려.,新しい街に慣れるには時間がかかる。
ox_00081,adaptation,noun,c1,,,,91300,"적응, 개작",適応、改作,The [adaptation] to the new climate was hard.,새로운 기후에 대한 적응은 힘들었습니다.,新しい気候への適応は大変でした。,The play is an [adaptation] of a novel.,그 연극은 소설을 개작한 거야.,その劇は小説を脚色したものです。
ox_00082,add,verb,a1,,,,414,"더하다, 추가하다",足す、追加する,[Add] his name to the list.,명단에 그의 이름을 추가하세요.,リストに彼の名前を追加してください。,[Add] sugar to my tea.,내 차에 설탕 좀 넣어줘.,お茶に砂糖を入れて。
ox_00083,addiction,noun,b2,,,,90910,중독,依存症、中毒,He is struggling with a gambling [addiction].,그는 도박 중독으로 고통받고 있습니다.,彼はギャンブル依存症に苦しんでいます。,Internet [addiction] is a serious problem.,인터넷 중독은 심각한 문제야.,インターネット中毒は深刻な問題だ。
ox_00084,addition,noun,b1,,,,707,"추가, 덧셈",追加、足し算,The [addition] of new people will help.,신규 인원 충원(추가)이 도움이 될 것입니다.,新人の追加は助けになるでしょう。,I am good at [addition].,나는 덧셈을 잘해.,私は足し算が得意です。
ox_00085,additional,adjective,b2,,,,1081,추가의,追加の,Is there any [additional] information?,추가 정보가 있습니까?,追加の情報はありますか？,We need [additional] help.,우리는 추가적인 도움이 필요해.,追加の助けが必要です。
ox_00086,additionally,adverb,b2,,,,90759,"추가적으로, 게다가",さらに、加えて,"[Additionally], we provide 24/7 support.","추가적으로, 저희는 연중무휴 지원을 제공합니다.",さらに、24時間365日のサポートを提供しています。,"[Additionally], it's free of charge.","게다가, 이건 무료야.",さらに、これは無料です。
ox_00087,address,noun,a1,,,,558,주소,住所,What is the [address]?,주소가 어떻게 됩니까?,住所は何ですか？,This is my [address].,여기가 우리 집 주소야.,これが私の住所です。
ox_00088,address,verb,b2,,,,558,"주소를 쓰다, 연설하다, 다루다",宛名を書く、演説する、取り組む,The CEO will [address] the employees tomorrow.,CEO가 내일 직원들에게 연설할 것입니다.,CEOが明日従業員に演説します。,Please [address] the letter carefully.,편지 주소를 주의해서 써 줘.,手紙の宛名を丁寧に書いてください。
ox_00089,adequate,adjective,b2,,,,2358,"적절한, 충분한",適切な、十分な,The budget is [adequate] for the project.,예산은 프로젝트에 적절합니다.,予算はそのプロジェクトに十分です。,Is the food [adequate] for everyone?,음식이 모두에게 충분하니?,食べ物は全員に行き渡りますか？
ox_00090,adequately,adverb,b2,,,,92030,"적절하게, 충분히",適切に、十分に,Make sure the equipment is [adequately] maintained.,장비가 적절하게 유지 관리되는지 확인하십시오.,設備が適切にメンテナンスされているか確認してください。,He was not [adequately] prepared.,그는 충분히 준비되지 않았어.,彼は十分に準備ができていなかった。
ox_00091,adhere,verb,c1,,,,92097,"들러붙다, 고수하다",粘着する、固守する,Staff must [adhere] to the code of conduct.,직원들은 행동 강령을 고수해야 합니다.,スタッフは行動規範を遵守しなければなりません。,The glue [adheres] to almost any surface.,그 접착제는 거의 모든 표면에 들러붙어.,その接着剤はほとんどの表面に張り付きます。
ox_00092,adjacent,adjective,c1,,,,90978,"인접한, 가까운",隣接した、近い,The hotel is [adjacent] to the main station.,호텔은 중앙역에 인접해 있습니다.,ホテルは中央駅に隣接しています。,They live in the [adjacent] house.,그들은 옆 집(인접한 집)에 살아.,彼らは隣の家に住んでいます。
ox_00093,adjust,verb,b2,,,,2208,"조절하다, 조정하다",調整する、慣れる,We need to [adjust] the prices for inflation.,인플레이션에 맞춰 가격을 조정해야 합니다.,インフレに合わせて価格を調整する必要があります。,Can you [adjust] the volume?,볼륨 좀 조절해 줄래?,音量を調節してくれますか？
ox_00094,adjustment,noun,c1,,,,2717,"조정, 수정",調整、修正,The firm made an [adjustment] to the price.,회사는 가격 조정을 했습니다.,会社は価格の調整を行いました。,Minor [adjustments] were needed for the suit.,정장에 약간의 조정(수선)이 필요했어.,スーツに微調整が必要でした。
ox_00095,administer,verb,c1,,,,92120,"관리하다, 집행하다",管理する、執行する,He was hired to [administer] the project.,그는 프로젝트를 관리하기 위해 고용되었습니다.,彼はプロジェクトを管理するために雇われました。,The law is [administered] by the court.,그 법은 법원에 의해 집행돼.,その法律は裁判所によって執行されます。
ox_00096,administration,noun,b2,,,,1046,"관리, 행정, 집행부",管理、行政、政府,The new [administration] will take office in May.,새 행정부가 5월에 출범할 것입니다.,新政権は5月に発足します。,She works in business [administration].,그녀는 경영 관리직에서 일해.,彼女は経営管理の仕事をしています。
ox_00097,administrative,adjective,c1,,,,90344,"행정의, 관리의",行政の、管理上の,She handles all [administrative] tasks.,그녀는 모든 행정 업무를 처리합니다.,彼女はすべての事務的な仕事をこなします。,This is an [administrative] error.,이건 행정상의 오류야.,これは事務的なミスです。
ox_00098,administrator,noun,c1,,,,91116,"관리자, 행정관",管理者、行政官,The system [administrator] reset my password.,시스템 관리자가 제 비밀번호를 초기화했습니다.,システム管理者が私のパスワードをリセットしました。,Contact the hospital [administrator].,병원 관리자에게 연락해 봐.,病院の管理者に連絡してください。
ox_00099,admire,verb,b1,,,,2347,"감탄하다, 존경하다",感心する、称賛する,We [admire] your hard work.,당신의 노고에 감탄합니다.,あなたの努力に感服します。,I [admire] your hat.,네 모자 진짜 멋지다.,あなたの帽子は素敵ですね。
ox_00100,admission,noun,c1,,,,90888,"입장, 입학, 인정",入場、入学、認めること,"The price of [admission] is 2,000 yen.","입장료는 2,000엔입니다.",入場料は2000円です。,He applied for [admission] to the university.,그는 대학교 입학 허가를 신청했어.,彼は大学への入学を申請しました。
ox_00101,admit,verb,b1,,,,1034,인정하다,認める,He will [admit] his mistake.,자기 실수를 인정할 것입니다.,彼は自分の間違いを認めるでしょう。,I [admit] I was wrong.,내가 틀렸다는 거 인정할게.,私が間違っていたと認めます。
